id,created_at,text
744538404168294400,2016-06-19 14:32:43,b'\xf0\x9f\x93\x9bDo you want to be my sex slave?My chat link\xe2\x8f\xa9 https://t.co/zH3pDN46c5  \xf0\x9f\x92\x97 https://t.co/m9ZgVHH0MF'
738052104267419648,2016-06-01 16:58:28,"b""\xf0\x9f\x92\x8dDo you mind? We can relax together!! Don't be shy,click\xe2\x8f\xa9 https://t.co/WeEf5cmVWu \xf0\x9f\x92\x93 https://t.co/d691jbZaxb"""
